lang	p_nr	ann_pos	ann_elem	base_pos	base_pos
por	832	29:30	['Ilustrada»,']	29:31	['Ilustrada»', ',']
por	840	8:9	['«desvario»,']	8:10	['«desvario»', ',']
por	840	104:105	['relatório».']	105:107	['relatório»', '.']
por	848	10:11	['«grotescos»,']	10:12	['«grotescos»', ',']
por	848	12:13	['«bestas»,']	13:15	['«bestas»', ',']
por	964	3:4	['v']	3:3	[]
por	1109	25:26	['agitava-se-']	25:27	['agitava-se', '-']
por	1256	2:4	['disse', ',']	2:3	['disse,']
por	1260	10:12	['erguendo', '-']	10:11	['erguendo-']
por	1289	23:24	"['pequena"".']"	23:25	"['pequena""', '.']"
por	1309	0:1063	['Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25']	0:0	[]
por	1309	1257:1353	['por', 'mês!', 'Todos', 'aqueles', 'suspiros,', 'aquelas', 'mudanças', 'de', 'cor', '--', 'chalaça!', 'Mangara', 'com', 'o', 'senhor', 'pároco!', 'por', 'mês!', 'Todos', 'aqueles', 'suspiros,', 'aquelas', 'mudanças', 'de', 'cor', '--', 'chalaça!', 'Mangara', 'com', 'o', 'senhor', 'pároco!', 'por', 'mês!', 'Todos', 'aqueles', 'suspiros,', 'aquelas', 'mudanças', 'de', 'cor', '--', 'chalaça!', 'Mangara', 'com', 'o', 'senhor', 'pároco!', 'por', 'mês!', 'Todos', 'aqueles', 'suspiros,', 'aquelas', 'mudanças', 'de', 'cor', '--', 'chalaça!', 'Mangara', 'com', 'o', 'senhor', 'pároco!', 'por', 'mês!', 'Todos', 'aqueles', 'suspiros,', 'aquelas', 'mudanças', 'de', 'cor', '--', 'chalaça!', 'Mangara', 'com', 'o', 'senhor', 'pároco!', 'por', 'mês!', 'Todos', 'aqueles', 'suspiros,', 'aquelas', 'mudanças', 'de', 'cor', '--', 'chalaça!', 'Mangara', 'com', 'o', 'senhor', 'pároco!']	194:194	[]
por	1408	109:110	"['catita"":']"	109:111	"['catita""', ':']"
por	1467	69:70	"['padre"",']"	69:71	"['padre""', ',']"
por	1470	88:89	"['falatórios"".']"	88:90	"['falatórios""', '.']"
por	1475	19:20	"['felicidade"".']"	19:21	"['felicidade""', '.']"
por	1501	7:8	"['tinto""!']"	7:9	"['tinto""', '!']"
por	1520	12:13	"['paixão"".']"	12:14	"['paixão""', '.']"
por	1530	162:163	"['arranjo"",']"	162:164	"['arranjo""', ',']"
por	1536	9:10	"['cidade"".']"	9:11	"['cidade""', '.']"
por	1573	40:41	"['sotaina"".']"	40:42	"['sotaina""', '.']"
por	1573	122:123	"['desbragado"".']"	123:125	"['desbragado""', '.']"
ita	193	4:5	['False']	4:5	['false']
ita	199	244:244	[]	244:245	['.']
ita	229	82:83	"['"">Dite']"	82:83	['Dite']
ita	249	3:3	[]	3:4	['-']
ita	258	0:0	[]	0:14	['-', 'Cosa', 'le', 'pare,', 'Capitano?', '-', 'gli', 'disse', 'Lucilio', 'con', 'un', 'ghignetto', 'alquanto', 'beffardo.']
ita	267	3:5	['stupisco', ',']	3:4	['stupisco,']
ita	276	3:5	['voi', ',']	3:4	['voi,']
ita	277	6:8	['marchese', ';']	6:7	['marchese;']
ita	290	4:6	['bene', ',']	4:5	['bene,']
ita	298	3:5	['pretendono', ',']	3:4	['pretendono,']
ita	305	64:66	['subito', ',']	64:65	['subito,']
ita	313	1:3	['indirizzi', ',']	1:2	['indirizzi,']
ita	318	9:11	['Gaudenzi', ',']	9:10	['Gaudenzi,']
ita	373	2:4	['io', ',']	2:3	['io,']
ita	409	6:8	['disgrazia', ',']	6:7	['disgrazia,']
ita	409	15:17	"[""anch'io"", ',']"	14:15	"[""anch'io,""]"
ita	421	2:4	['sbagli', ',']	2:3	['sbagli,']
ita	431	15:17	['prego', ',']	15:16	['prego,']
ita	469	1:3	['Eccellenza', ',']	1:2	['Eccellenza,']
ita	480	2:4	['caro', ',']	2:3	['caro,']
ita	512	1:3	['Tuttavolta', ',']	1:2	['Tuttavolta,']
ita	513	4:6	['fatta', ',']	4:5	['fatta,']
ita	528	8:10	['signori', ',']	8:9	['signori,']
ita	531	50:52	['«Costui', ',']	50:51	['«Costui,']
ita	538	33:34	['gastigati».']	33:35	['gastigati»', '.']
ita	585	59:60	['nulla».']	59:61	['nulla»', '.']
ita	612	146:147	['strada».']	146:148	['strada»', '.']
ita	632	79:80	['gola.)«Vuol']	79:81	['gola.)', '«Vuol']
ita	657	517:518	['Dio».']	517:519	['Dio»', '.']
deu	110	83:84	['kann.«']	83:85	['kann.', '«']
deu	110	85:86	['»Du']	86:88	['»', 'Du']
deu	110	94:96	['Leuten«', ',']	96:97	['Leuten«,']
deu	415	48:49	['Hochzeit«,']	48:50	['Hochzeit«', ',']
deu	428	308:309	['haben«,']	308:310	['haben«', ',']
deu	428	323:324	['ist«;']	324:326	['ist«', ';']
deu	428	350:351	['»Restitutionen«.']	352:354	['»Restitutionen«', '.']
deu	473	4:5	['»Herausreißen«,']	4:6	['»Herausreißen«', ',']
deu	531	3:4	['Gnadenbild«,']	3:5	['Gnadenbild«', ',']
deu	575	24:25	['hat.«']	24:26	['hat.', '«']
deu	575	29:30	['»Von']	30:32	['»', 'Von']
srp	5	192:193	['рећи«.)']	192:194	['рећи«', '.)']
srp	241	20:26	['посао', 'не', 'би', 'било', 'довољно', 'о,']	20:21	['посао,']
srp	270	0:5	"['не', 'би', 'било', 'довољно', 'ct=""False"">Напољу']"	0:1	['Напољу']
srp	381	66:67	['„Поези”,']	66:68	['„Поези”', ',']
srp	389	6:7	['„сврачици”,']	6:8	['„сврачици”', ',']
srp	424	20:21	['„догађај”.']	20:22	['„догађај”', '.']
srp	436	8:9	['попм']	8:9	['поп']
srp	443	31:32	['грјадушчи”.']	31:33	['грјадушчи”', '.']
srp	468	45:46	['вама”.']	45:47	['вама”', '.']
srp	473	34:35	['душа!”...']	34:36	['душа!”', '...']
srp	540	86:87	['лафа”.']	86:88	['лафа”', '.']
srp	546	71:72	['варош”.']	71:73	['варош”', '.']
srp	570	91:92	['тузи”,']	91:93	['тузи”', ',']
srp	570	97:98	['Милева”.']	98:100	['Милева”', '.']
srp	598	99:100	['параграф”,']	99:101	['параграф”', ',']
srp	613	128:129	['помрчина“,']	128:130	['помрчина“', ',']
srp	614	63:64	['инат“.']	63:67	['инат“', '„за', 'инат“', '.']
srp	614	137:138	['кесе“.']	140:142	['кесе“', '.']
srp	615	21:22	['скоро“.']	21:23	['скоро“', '.']
srp	624	9:10	['„новој“,']	9:11	['„новој“', ',']
srp	628	43:44	['је“,']	43:45	['је“', ',']
srp	640	160:161	['„реакционари“;']	160:162	['„реакционари“', ';']
srp	640	175:176	['поздраве“.']	176:178	['поздраве“', '.']
srp	640	225:226	['макар...“,']	227:229	['макар...“', ',']
srp	640	231:232	['умрла“,']	234:236	['умрла“', ',']
srp	640	243:244	['мужа“.']	247:249	['мужа“', '.']
srp	641	491:492	['људи“.']	491:493	['људи“', '.']
srp	641	531:532	['„Полудела!“,']	532:534	['„Полудела!“', ',']
srp	643	6:7	['мртав!“...']	6:8	['мртав!“', '...']
srp	658	31:32	['„Гости!“...']	31:33	['„Гости!“', '...']
srp	658	109:110	['жени“,']	110:112	['жени“', ',']
srp	668	134:136	['старе“', ':']	134:135	['старе“:']
srp	668	220:221	"['пробудили?!""']"	219:221	"['пробудили?!', '""']"
srp	668	281:282	"['„Алла""!']"	281:283	"['„Алла""', '!']"
srp	680	43:44	['сунца“,']	43:45	['сунца“', ',']
srp	681	20:21	['„џемала”,']	20:22	['„џемала”', ',']
srp	709	138:139	['Истока“.']	138:140	['Истока“', '.']
srp	714	125:126	['земљу“,']	125:127	['земљу“', ',']
srp	751	74:75	['жене“,']	74:76	['жене“', ',']
srp	772	38:39	['мај“...']	38:40	['мај“', '...']
srp	776	23:24	['венчање“.']	23:25	['венчање“', '.']
srp	777	70:71	['моје“.']	70:72	['моје“', '.']
srp	828	65:66	['„протолковали“,']	65:67	['„протолковали“', ',']
srp	842	21:22	['прсте“,']	21:23	['прсте“', ',']
srp	842	32:33	['Крстом“.']	33:35	['Крстом“', '.']
srp	866	61:62	['„еташеа“,']	61:63	['„еташеа“', ',']
srp	872	83:84	['ништа,—']	83:85	['ништа,', '—']
srp	936	29:30	['„сицевима“;']	29:31	['„сицевима“', ';']
srp	936	134:135	['вреди“...']	135:137	['вреди“', '...']
